icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD9,200,20042,malig_myelolymph,"Mantle cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,20043,malig_myelolymph,"Mantle cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,20044,malig_myelolymph,"Mantle cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,20045,malig_myelolymph,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,20046,malig_myelolymph,"Mantle cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,20047,malig_myelolymph,"Mantle cell lymphoma, spleen"
DIAG-ICD9,200,20048,malig_myelolymph,"Mantle cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,2005,malig_myelolymph,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,20051,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,20052,malig_myelolymph,"Primary central nervous system lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,20053,malig_myelolymph,"Primary central nervous system lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,20054,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,20055,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,20056,malig_myelolymph,"Primary central nervous system lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,20057,malig_myelolymph,"Primary central nervous system lymphoma, spleen"
DIAG-ICD9,200,20058,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,2006,malig_myelolymph,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,20061,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,20062,malig_myelolymph,"Anaplastic large cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,20063,malig_myelolymph,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,20064,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,20065,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,20066,malig_myelolymph,"Anaplastic large cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,20067,malig_myelolymph,"Anaplastic large cell lymphoma, spleen"
DIAG-ICD9,200,20068,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,2007,malig_myelolymph,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,20071,malig_myelolymph,"Large cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,20072,malig_myelolymph,"Large cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,20073,malig_myelolymph,"Large cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,20074,malig_myelolymph,"Large cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,20075,malig_myelolymph,"Large cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,20076,malig_myelolymph,"Large cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,20077,malig_myelolymph,"Large cell lymphoma, spleen"
DIAG-ICD9,200,20078,malig_myelolymph,"Large cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,2008,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,20081,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,20082,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes"
DIAG-ICD9,200,20083,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,20084,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,20085,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,20086,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes"
DIAG-ICD9,200,20087,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, spleen"
DIAG-ICD9,200,20088,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites"
DIAG-ICD9,201,201,malig_myelolymph,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20101,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20102,malig_myelolymph,"Hodgkin's paragranuloma, intrathoracic lymph nodes"
DIAG-ICD9,201,20103,malig_myelolymph,"Hodgkin's paragranuloma, intra-abdominal lymph nodes"
DIAG-ICD9,201,20104,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20105,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20106,malig_myelolymph,"Hodgkin's paragranuloma, intrapelvic lymph nodes"
DIAG-ICD9,201,20107,malig_myelolymph,"Hodgkin's paragranuloma, spleen"
DIAG-ICD9,201,20108,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of multiple sites"
DIAG-ICD9,201,2011,malig_myelolymph,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20111,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20112,malig_myelolymph,"Hodgkin's granuloma, intrathoracic lymph nodes"
DIAG-ICD9,201,20113,malig_myelolymph,"Hodgkin's granuloma, intra-abdominal lymph nodes"
DIAG-ICD9,201,20114,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20115,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20116,malig_myelolymph,"Hodgkin's granuloma, intrapelvic lymph nodes"
DIAG-ICD9,201,20117,malig_myelolymph,"Hodgkin's granuloma, spleen"
DIAG-ICD9,201,20118,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of multiple sites"
DIAG-ICD9,201,2012,malig_myelolymph,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20121,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20122,malig_myelolymph,"Hodgkin's sarcoma, intrathoracic lymph nodes"
DIAG-ICD9,201,20123,malig_myelolymph,"Hodgkin's sarcoma, intra-abdominal lymph nodes"
DIAG-ICD9,201,20124,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20125,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20126,malig_myelolymph,"Hodgkin's sarcoma, intrapelvic lymph nodes"
DIAG-ICD9,201,20127,malig_myelolymph,"Hodgkin's sarcoma, spleen"
DIAG-ICD9,201,20128,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of multiple sites"
DIAG-ICD9,201,2014,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20141,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20142,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes"
DIAG-ICD9,201,20143,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes"
DIAG-ICD9,201,20144,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20145,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20146,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes"
DIAG-ICD9,201,20147,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen"
DIAG-ICD9,201,20148,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites"
DIAG-ICD9,201,2015,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20151,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20152,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes"
DIAG-ICD9,201,20153,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes"
DIAG-ICD9,201,20154,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20155,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20156,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes"
DIAG-ICD9,201,20157,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, spleen"
DIAG-ICD9,201,20158,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
DIAG-ICD9,201,2016,malig_myelolymph,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20161,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20162,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes"
DIAG-ICD9,201,20163,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes"
DIAG-ICD9,201,20164,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20165,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20166,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes"
DIAG-ICD9,201,20167,malig_myelolymph,"Hodgkin's disease, mixed cellularity, spleen"
DIAG-ICD9,201,20168,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites"
DIAG-ICD9,201,2017,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20171,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20172,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes"
DIAG-ICD9,201,20173,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes"
DIAG-ICD9,201,20174,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20175,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20176,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes"
DIAG-ICD9,201,20177,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, spleen"
DIAG-ICD9,201,20178,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites"
DIAG-ICD9,201,2019,malig_myelolymph,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,20191,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck"
DIAG-ICD9,201,20192,malig_myelolymph,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes"
DIAG-ICD9,201,20193,malig_myelolymph,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes"
DIAG-ICD9,201,20194,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,20195,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,20196,malig_myelolymph,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes"
DIAG-ICD9,201,20197,malig_myelolymph,"Hodgkin's disease, unspecified type, spleen"
DIAG-ICD9,201,20198,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
DIAG-ICD9,202,202,malig_myelolymph,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20201,malig_myelolymph,"Nodular lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20202,malig_myelolymph,"Nodular lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,202,20203,malig_myelolymph,"Nodular lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,202,20204,malig_myelolymph,"Nodular lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20205,malig_myelolymph,"Nodular lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20206,malig_myelolymph,"Nodular lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,202,20207,malig_myelolymph,"Nodular lymphoma, spleen"
DIAG-ICD9,202,20208,malig_myelolymph,"Nodular lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,202,2021,malig_myelolymph,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20211,malig_myelolymph,"Mycosis fungoides, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20212,malig_myelolymph,"Mycosis fungoides, intrathoracic lymph nodes"
DIAG-ICD9,202,20213,malig_myelolymph,"Mycosis fungoides, intra-abdominal lymph nodes"
DIAG-ICD9,202,20214,malig_myelolymph,"Mycosis fungoides, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20215,malig_myelolymph,"Mycosis fungoides, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20216,malig_myelolymph,"Mycosis fungoides, intrapelvic lymph nodes"
DIAG-ICD9,202,20217,malig_myelolymph,"Mycosis fungoides, spleen"
DIAG-ICD9,202,20218,malig_myelolymph,"Mycosis fungoides, lymph nodes of multiple sites"
DIAG-ICD9,202,2022,malig_myelolymph,"Sezary's disease, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20221,malig_myelolymph,"Sezary's disease, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20222,malig_myelolymph,"Sezary's disease, intrathoracic lymph nodes"
DIAG-ICD9,202,20223,malig_myelolymph,"Sezary's disease, intra-abdominal lymph nodes"
DIAG-ICD9,202,20224,malig_myelolymph,"Sezary's disease, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20225,malig_myelolymph,"Sezary's disease, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20226,malig_myelolymph,"Sezary's disease, intrapelvic lymph nodes"
DIAG-ICD9,202,20227,malig_myelolymph,"Sezary's disease, spleen"
DIAG-ICD9,202,20228,malig_myelolymph,"Sezary's disease, lymph nodes of multiple sites"
DIAG-ICD9,202,2023,malig_myelolymph,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20231,malig_myelolymph,"Malignant histiocytosis, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20232,malig_myelolymph,"Malignant histiocytosis, intrathoracic lymph nodes"
DIAG-ICD9,202,20233,malig_myelolymph,"Malignant histiocytosis, intra-abdominal lymph nodes"
DIAG-ICD9,202,20234,malig_myelolymph,"Malignant histiocytosis, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20235,malig_myelolymph,"Malignant histiocytosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20236,malig_myelolymph,"Malignant histiocytosis, intrapelvic lymph nodes"
DIAG-ICD9,202,20237,malig_myelolymph,"Malignant histiocytosis, spleen"
DIAG-ICD9,202,20238,malig_myelolymph,"Malignant histiocytosis, lymph nodes of multiple sites"
DIAG-ICD9,202,2024,malig_myelolymph,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20241,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20242,malig_myelolymph,"Leukemic reticuloendotheliosis, intrathoracic lymph nodes"
DIAG-ICD9,202,20243,malig_myelolymph,"Leukemic reticuloendotheliosis, intra-abdominal lymph nodes"
DIAG-ICD9,202,20244,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm"
DIAG-ICD9,202,20245,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20246,malig_myelolymph,"Leukemic reticuloendotheliosis, intrapelvic lymph nodes"
DIAG-ICD9,202,20247,malig_myelolymph,"Leukemic reticuloendotheliosis, spleen"
DIAG-ICD9,202,20248,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of multiple sites"
DIAG-ICD9,202,2025,malig_myelolymph,"Letterer-siwe disease, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20251,malig_myelolymph,"Letterer-siwe disease, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20252,malig_myelolymph,"Letterer-siwe disease, intrathoracic lymph nodes"
DIAG-ICD9,202,20253,malig_myelolymph,"Letterer-siwe disease, intra-abdominal lymph nodes"
DIAG-ICD9,202,20254,malig_myelolymph,"Letterer-siwe disease, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20255,malig_myelolymph,"Letterer-siwe disease, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20256,malig_myelolymph,"Letterer-siwe disease, intrapelvic lymph nodes"
DIAG-ICD9,202,20257,malig_myelolymph,"Letterer-siwe disease, spleen"
DIAG-ICD9,202,20258,malig_myelolymph,"Letterer-siwe disease, lymph nodes of multiple sites"
DIAG-ICD9,202,2026,malig_myelolymph,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20261,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20262,malig_myelolymph,"Malignant mast cell tumors, intrathoracic lymph nodes"
DIAG-ICD9,202,20263,malig_myelolymph,"Malignant mast cell tumors, intra-abdominal lymph nodes"
DIAG-ICD9,202,20264,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20265,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20266,malig_myelolymph,"Malignant mast cell tumors, intrapelvic lymph nodes"
DIAG-ICD9,202,20267,malig_myelolymph,"Malignant mast cell tumors, spleen"
DIAG-ICD9,202,20268,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of multiple sites"
DIAG-ICD9,202,2027,malig_myelolymph,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20271,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20272,malig_myelolymph,"Peripheral T cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,202,20273,malig_myelolymph,"Peripheral T cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,202,20274,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20275,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20276,malig_myelolymph,"Peripheral T cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,202,20277,malig_myelolymph,"Peripheral T cell lymphoma, spleen"
DIAG-ICD9,202,20278,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,202,2028,malig_myelolymph,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20281,malig_myelolymph,"Other malignant lymphomas, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20282,malig_myelolymph,"Other malignant lymphomas, intrathoracic lymph nodes"
DIAG-ICD9,202,20283,malig_myelolymph,"Other malignant lymphomas, intra-abdominal lymph nodes"
DIAG-ICD9,202,20284,malig_myelolymph,"Other malignant lymphomas, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20285,malig_myelolymph,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20286,malig_myelolymph,"Other malignant lymphomas, intrapelvic lymph nodes"
DIAG-ICD9,202,20287,malig_myelolymph,"Other malignant lymphomas, spleen"
DIAG-ICD9,202,20288,malig_myelolymph,"Other malignant lymphomas, lymph nodes of multiple sites"
DIAG-ICD9,202,2029,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,20291,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of head, face, and neck"
DIAG-ICD9,202,20292,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrathoracic lymph nodes"
DIAG-ICD9,202,20293,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intra-abdominal lymph nodes"
DIAG-ICD9,202,20294,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,20295,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,20296,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes"
DIAG-ICD9,202,20297,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, spleen"
DIAG-ICD9,202,20298,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of multiple sites"
DIAG-ICD9,203,203,malig_myelolymph,"Multiple myeloma, without mention of having achieved remission"
DIAG-ICD9,203,20301,malig_myelolymph,"Multiple myeloma, in remission"
DIAG-ICD9,203,20302,malig_myelolymph,"Multiple myeloma, in relapse"
DIAG-ICD9,203,2031,malig_myelolymph,"Plasma cell leukemia, without mention of having achieved remission"
DIAG-ICD9,203,20311,malig_myelolymph,"Plasma cell leukemia, in remission"
DIAG-ICD9,203,20312,malig_myelolymph,"Plasma cell leukemia, in relapse"
DIAG-ICD9,203,2038,malig_myelolymph,"Other immunoproliferative neoplasms, without mention of having achieved remission"
DIAG-ICD9,203,20381,malig_myelolymph,"Other immunoproliferative neoplasms, in remission"
DIAG-ICD9,203,20382,malig_myelolymph,"Other immunoproliferative neoplasms, in relapse"
DIAG-ICD9,204,204,malig_myelolymph,"Acute lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,20401,malig_myelolymph,"Acute lymphoid leukemia, in remission"
DIAG-ICD9,204,20402,malig_myelolymph,"Acute lymphoid leukemia, in relapse"
DIAG-ICD9,204,2041,malig_myelolymph,"Chronic lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,20411,malig_myelolymph,"Chronic lymphoid leukemia, in remission"
DIAG-ICD9,204,20412,malig_myelolymph,"Chronic lymphoid leukemia, in relapse"
DIAG-ICD9,204,2042,malig_myelolymph,"Subacute lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,20421,malig_myelolymph,"Subacute lymphoid leukemia, in remission"
DIAG-ICD9,204,20422,malig_myelolymph,"Subacute lymphoid leukemia, in relapse"
DIAG-ICD9,204,2048,malig_myelolymph,"Other lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,20481,malig_myelolymph,"Other lymphoid leukemia, in remission"
DIAG-ICD9,204,20482,malig_myelolymph,"Other lymphoid leukemia, in relapse"
DIAG-ICD9,204,2049,malig_myelolymph,"Unspecified lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,20491,malig_myelolymph,"Unspecified lymphoid leukemia, in remission"
DIAG-ICD9,204,20492,malig_myelolymph,"Unspecified lymphoid leukemia, in relapse"
DIAG-ICD9,205,205,malig_myelolymph,"Acute myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,20501,malig_myelolymph,"Acute myeloid leukemia, in remission"
DIAG-ICD9,205,20502,malig_myelolymph,"Acute myeloid leukemia, in relapse"
DIAG-ICD9,205,2051,malig_myelolymph,"Chronic myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,20511,malig_myelolymph,"Chronic myeloid leukemia, in remission"
DIAG-ICD9,205,20512,malig_myelolymph,"Chronic myeloid leukemia, in relapse"
DIAG-ICD9,205,2052,malig_myelolymph,"Subacute myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,20521,malig_myelolymph,"Subacute myeloid leukemia,in remission"
DIAG-ICD9,205,20522,malig_myelolymph,"Subacute myeloid leukemia, in relapse"
DIAG-ICD9,205,2053,malig_myelolymph,"Myeloid sarcoma, without mention of having achieved remission"
DIAG-ICD9,205,20531,malig_myelolymph,"Myeloid sarcoma, in remission"
DIAG-ICD9,205,20532,malig_myelolymph,"Myeloid sarcoma, in relapse"
DIAG-ICD9,205,2058,malig_myelolymph,"Other myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,20581,malig_myelolymph,"Other myeloid leukemia, in remission"
DIAG-ICD9,205,20582,malig_myelolymph,"Other myeloid leukemia, in relapse"
DIAG-ICD9,205,2059,malig_myelolymph,"Unspecified myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,20591,malig_myelolymph,"Unspecified myeloid leukemia, in remission"
DIAG-ICD9,205,20592,malig_myelolymph,"Unspecified myeloid leukemia, in relapse"
DIAG-ICD9,206,206,malig_myelolymph,"Acute monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,20601,malig_myelolymph,"Acute monocytic leukemia,in remission"
DIAG-ICD9,206,20602,malig_myelolymph,"Acute monocytic leukemia, in relapse"
DIAG-ICD9,206,2061,malig_myelolymph,"Chronic monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,20611,malig_myelolymph,"Chronic monocytic leukemia, in remission"
DIAG-ICD9,206,20612,malig_myelolymph,"Chronic monocytic leukemia, in relapse"
DIAG-ICD9,206,2062,malig_myelolymph,"Subacute monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,20621,malig_myelolymph,"Subacute monocytic leukemia, in remission"
DIAG-ICD9,206,20622,malig_myelolymph,"Subacute monocytic leukemia, in relapse"
DIAG-ICD9,206,2068,malig_myelolymph,"Other monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,20681,malig_myelolymph,"Other monocytic leukemia, in remission"
DIAG-ICD9,206,20682,malig_myelolymph,"Other monocytic leukemia, in relapse"
DIAG-ICD9,206,2069,malig_myelolymph,"Unspecified monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,20691,malig_myelolymph,"Unspecified monocytic leukemia, in remission"
DIAG-ICD9,206,20692,malig_myelolymph,"Unspecified monocytic leukemia, in relapse"
DIAG-ICD9,207,207,malig_myelolymph,"Acute erythremia and erythroleukemia, without mention of having achieved remission"
DIAG-ICD9,207,20701,malig_myelolymph,"Acute erythremia and erythroleukemia, in remission"
DIAG-ICD9,207,20702,malig_myelolymph,"Acute erythremia and erythroleukemia, in relapse"
